                  epoch,         train/box_loss,         train/seg_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),   metrics/precision(M),      metrics/recall(M),       metrics/mAP50(M),    metrics/mAP50-95(M),           val/box_loss,           val/seg_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 2.5818,                 5.2841,                 3.8483,                 2.4325,                 0.0058,                0.55556,                0.06623,                0.01883,                0.00029,                0.02778,                0.00015,                  2e-05,                  2.729,                 4.9467,                  3.464,                 2.7903,                0.00026,                0.00026,                0.00026
                      2,                 2.3643,                 4.4863,                 3.6642,                 2.3133,                0.00623,                0.59722,                0.07068,                0.02578,                0.00029,                0.02778,                0.00018,                  4e-05,                  2.274,                 4.7264,                 3.4172,                 2.4876,             0.00048654,             0.00048654,             0.00048654
                      3,                 2.3206,                 4.3756,                 3.4361,                 2.2224,                0.01076,                0.52778,                0.07761,                0.02792,                0.00058,                0.05556,                 0.0005,                 0.0001,                 2.4588,                 4.5283,                 3.2288,                 2.6923,             0.00065764,             0.00065764,             0.00065764
                      4,                 2.4221,                 4.2659,                 3.4553,                 2.3518,                0.04289,                0.40278,                0.06337,                0.02865,                      0,                      0,                      0,                      0,                 2.4899,                 4.8503,                 3.2867,                 2.8794,              0.0007733,              0.0007733,              0.0007733
                      5,                 2.2718,                 4.0595,                 3.2836,                 2.2054,                0.01421,                0.36111,                0.02602,                0.01018,                0.00043,                0.04167,                0.00066,                0.00016,                 2.6919,                  4.829,                 3.5936,                 3.4372,             0.00083352,             0.00083352,             0.00083352
                      6,                 2.2121,                 3.9176,                 3.1875,                 2.1274,                0.23686,                0.19444,                0.09084,                  0.039,                0.00215,                0.04167,                0.00072,                0.00029,                 2.5955,                 4.8572,                 3.2494,                 3.1102,              0.0008383,              0.0008383,              0.0008383
                      7,                 2.1806,                 3.9849,                  3.174,                 2.1488,                0.20029,                0.20833,                0.10318,                0.03708,                0.01166,                0.02778,                0.00147,                0.00039,                 2.2277,                 4.4966,                 3.1391,                 2.4577,             0.00078764,             0.00078764,             0.00078764
                      8,                 2.1767,                  3.895,                 3.0193,                 2.1095,                0.22204,                0.19444,                0.09752,                0.03758,                0.00502,                0.02778,                0.00157,                0.00027,                 2.2982,                 4.2039,                 3.2687,                 2.4968,               0.000614,               0.000614,               0.000614
                      9,                 2.1089,                 3.8328,                 3.0154,                 2.0153,                0.12526,                0.19444,                0.08309,                0.03199,                0.01621,                0.01389,                0.00201,                0.00041,                 2.1621,                  4.011,                   3.01,                 2.3289,               0.000614,               0.000614,               0.000614
                     10,                 2.1023,                 3.7463,                 2.9533,                 2.0466,                0.14444,                0.19444,                0.09821,                0.04344,                0.03105,                0.05556,                0.00349,                0.00082,                 2.2035,                 4.0667,                 2.9028,                 2.3047,               0.000416,               0.000416,               0.000416
